Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/04/2014","12 CREST OF THE WAVE, BUNDORAN, DONEGAL","","Donegal","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2014","18 COYLIN COURT, RAMELTON, DONEGAL","","Donegal","€105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/04/2014","22A MEADOWBANK, LETTERKENNY, DONEGAL","","Donegal","€55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/04/2014","BALLYARGUS, REDCASTLE, DONEGAL","","Donegal","€105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/04/2014","52 ARD COLGAN, CARNDONAGH, DONEGAL","","Donegal","€47,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/04/2014","1 Stonepark Crescent, Pairc na Gcloch, Drumnasillagh","","Donegal","€140,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/04/2014","13 DUNALAINN, CULDAFF, DONEGAL","","Donegal","€71,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/04/2014","2 Stonepark Crescent, Pairc na Gcloch, Drumnasillagh","","Donegal","€76,500.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/04/2014","4 MOUNT PLEASANT, MOUNTAIN TOP, LETTERKENNY","","Donegal","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/04/2014","70 ATLANTIC WAY, BUNDORAN, DONEGAL","","Donegal","€51,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/04/2014","8 SUMMERHILL, MAGHERINTURE, BUNCRANA","","Donegal","€117,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/04/2014","ARDESKIN, DONEGAL TOWN, DONEGAL","","Donegal","€143,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/04/2014","CRAIG, MUFF, DONEGAL","","Donegal","€204,750.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/04/2014","DERRYNAMANSHER, ANNAGRY, DONEGAL","","Donegal","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/04/2014","Drum House, Letterkenny, Donegal","","Donegal","€90,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/04/2014","Dunree, linsfort, Buncrana","","Donegal","€110,132.16","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"04/04/2014","RUSKEY UPPER, CONVOY, CO DONEGAL","","Donegal","€132,160.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/04/2014","THE HOLLIES, TIERNALEAGUE, CARNDONAGH","","Donegal","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/04/2014","108 THE GRANGE, LETTERKENNY, DONEGAL","","Donegal","€40,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"07/04/2014","22 BURNSIDE PARK, LETTERKENNY, DONEGAL","","Donegal","€26,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/04/2014","30 Whitethorn Grove, Gortlee, Letterkenny","","Donegal","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/04/2014","86 MEADOW HILL, KILTOY, LETTERKENNY","","Donegal","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/04/2014","Corveen, Derrybeg","","Donegal","€10,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"09/04/2014","10 SEA SPRAY APT, MAIN ST, BUNDORAN","","Donegal","€36,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/04/2014","5 Lennon View, RAMELTON, DONEGAL","","Donegal","€17,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/04/2014","Garrowcarry, Letterkenny","","Donegal","€65,500.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"09/04/2014","ST BODENS, AUGHT, MUFF","","Donegal","€72,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/04/2014","1 OCEAN VIEW, WEST END, BUNDORAN","","Donegal","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
